userName,content,at
Haifa Zahra,aneh bgt mau join malah gabisa diklik-_-,2023-02-27 11:42:46
Leokindor Rusli,"Kerjaan Starbuck IT tambah parah, tiap kali update dan tambah lemot saja, kalo bintang 0, sy kasih bintang 0",2023-02-26 15:34:10
Farida Andriani,Susehhhh,2023-02-26 10:17:03
Gilang,Good. Fiturnya lebih banyak dibanding versi di luar negeri 👍,2023-02-26 10:05:13
Fardi Djunaedi,Aplikasinya kurang stabil. Bisa tiba-tiba keluar sendiri dari aplikasi.,2023-02-25 17:39:41
0102 Heru Setiono,sometimes the application can not be opened,2023-02-25 13:34:29
Anjas Fikhri Warangga,"Sekelas starbucks mau daftar aja susah banget, invalid terus capek",2023-02-25 11:56:06
Felix Lauwrensius,"Secara fitur sudah tergolong banyak, fitur cukup informatif, lebih memudahkan. Untuk kecepatan loading tolong ditingkatkan",2023-02-25 10:20:45
Yohanis Polowiwi,"Mempermudah skali, pesan tanpa ke kasir, bisa liat all menu, dan info lengkap cuma lewat aplikasi",2023-02-25 10:04:27
Rini Panjaitan,Pesen pake aplikasi praktis ga perlu ngantri.. Banyak voucher dan promo nya.,2023-02-25 09:47:31
wahyuni setiawati,"Aduh giliran mau di pake suruh update, biasa tinggal klik update trs langsung bisa dipake, ini kenapa malah disuruh instal di perangkat lain😩mana masi ada saldo nya, gimana ini",2023-02-25 08:15:37
hanny restu,Saya tidak bisa masuk ke aplikasi di situ ada saldooo woiiii,2023-02-25 04:50:12
BASUKI SOEKARSO,"Reward,Service,SDM -Good",2023-02-25 03:05:34
Robert Sigiro,Ga bisa dibuka apps nya,2023-02-24 21:32:28
Kalua Masuak,Appnya coba di permudah,2023-02-24 17:26:29
Sulthan M Shabri,"Mantap, banyak promo, tapi kadang error pas hari hari tertentu",2023-02-24 17:24:37
Jenny Karim,"Ini tiba2 minta update , tp ngak bisa di update ,padahal terakhir pake kemaren malam masih bisa , kacau nich sbuck",2023-02-24 13:47:28
A. R. Nuryadin,Mantap,2023-02-24 12:33:30
Anwar Kurniawan Halim,"Suka ngasih promo gaes, mayan banget kalo lagi akhir bulan",2023-02-24 09:28:21
octa riyana,Prosesny kdg Ribet mu download kdg susah..smoga Bs d perbaiki lagi perfomany,2023-02-24 08:47:54
Mulyono Sri Hutomo,apps down mlulu. saldo jadi nggak bisa transaksi,2023-02-24 08:47:18
Tepra echi,Oke hari ini sdh mantep appnya.hehee,2023-02-23 18:48:57
Khofidotur Rofiah,Sering ngadat dan eror,2023-02-23 17:18:58
Kusnanto Halim,"Payah nih aplikasi abis di update malah gagal trus pas masuk. Sinyal kenceng malah suruh refresh mulu. IT nya kerjain apa sih,sekelas starbucks IT nya ABAL ABAL!!!",2023-02-23 16:56:53
Mia Siti Ranjani,Lemot bgt,2023-02-23 16:37:39
Dewi Nurindah,Kenapa setelah diupdate aplikasinya jd gak bisa dibukaaaaaaaa?????,2023-02-23 16:00:03
Ayu acHin,Semakin di update malah semakin ancur. Lepaspasang aplikasi gak juga bener. Udah pakai wifi karna pakai data di bilang jaringan kena tapi tetap juga 🗿,2023-02-23 15:54:24
Mas Hari,Parah. Habis update langsung lemooooooooot pol. Gakbisa tampil gambarnya. Perbaiki dong. Mending aplikasi yg lama.,2023-02-23 15:49:01
Hergianti Puspita D,"Tolong ditingkatkan dan dibenahi aplikasinya. sangat susah untuk mengakses aplikasinya, saya sudah coba gonta ganti jaringan masih saja gagal buka.",2023-02-23 15:40:13
orin SR,Sungguh sungguh lemot aplikasi nya,2023-02-23 15:16:00
Nanda,"App starbucks error terus gabisa login, sekalinya udh bisa buka reward gabisa2 ... udah banyak yang kasih komen keluhan kenapa tidak ada peningkatannya",2023-02-23 15:10:59
Zul Fahmi,"Setelah di update koq malah ga kebuka, network unstable mulu, padahal buka aplikasi lain, lancar2 aja.. mending balikin aja ke versi sebelumnya..",2023-02-23 14:26:40
Putri R Lillah,Aneh bgt.. Abis update malah lemot buka aplikasinya.. Padahal yg sebelumnya aman aman ajh,2023-02-23 13:56:36
H.Ibrahim sani,Lelet,2023-02-23 13:23:43
Rio Hariyoko R,"Ini kecepatan internetnya harus 91gbps kalinya, lemot bgt aplikasinya cok",2023-02-23 13:21:08
Steven Reynaldo,app lag,2023-02-23 11:58:56
Andi Han,Udah aku klik join now beberapa kali ga bisa,2023-02-23 11:44:53
Muhammad Iqbal,👍🌟🌟🌟🌟🌟,2023-02-23 11:24:49
